place,name,dist_km,lat,lon,osm_type,osm_id
suburb,Cartierul Latin,8.9,44.403536,25.9949731,node,8864080328
suburb,Cartierul Pădurea Băneasa,11.2,44.5185577,26.0429066,node,8865793303
suburb,Cartierul Suseni,76.7,44.9374141,25.449883,way,1147870504
suburb,Cartierul Tineretului,58.5,43.9090816,25.9740382,node,8815158360
suburb,Cartierul Verde,7.5,44.3872805,26.0255102,node,8932645687
suburb,Centru,57.6,44.9420331,26.0230725,node,8232760242
suburb,Centrul Civic,0.3,44.4264591,26.1060218,way,240572529
suburb,Centrul Istoric,0.6,44.4325445,26.1031356,way,232341176
suburb,Centrul Vechi,0.6,44.4315367,26.1001246,way,240572668
suburb,Chitila,7.5,44.4765622,26.038048,way,1309603408
suburb,Chitila - Triaj,9.4,44.4858123,26.0170931,node,12137243077
suburb,Cișmigiu,1.5,44.4373874,26.0909026,node,12194189625
suburb,Colentina,5.5,44.4676744,26.1422559,node,8867994995
suburb,Constantin Brâncoveanu,76.1,44.9296542,25.4500965,way,1147867201
suburb,Cosmopolis,13.4,44.5368562,26.1711773,node,9050645100
suburb,Costeasca,7.5,44.4760681,26.0375228,node,12137771368
suburb,Cotroceni,2.6,44.4311178,26.0708103,node,8864235866
suburb,Crângași,5.2,44.4531382,26.048119,node,12124432391
suburb,Daciei,59.2,43.9034243,25.9684297,node,8815158361
suburb,Danubiana,10.2,44.3644748,26.1964658,node,8932645688
suburb,Democraţiei,56.7,44.9337637,26.0311507,node,8230839540
suburb,Doamna Ghica,4.4,44.458769,26.1345037,node,12148082321
suburb,Domenii,5.6,44.4697003,26.0664448,node,9037607234
suburb,Dorobanți,3.2,44.4550943,26.0931029,node,8867746130
suburb,Dristor,3.4,44.4148939,26.1419967,node,8864235877
suburb,Drumul Taberei,5.9,44.41981,26.0283834,node,8864061242
suburb,Dudeşti,2.4,44.4197309,26.1306853,node,8864235876
suburb,Dămăroaia,7.9,44.4883618,26.0520454,node,8867960070
suburb,Eden,60.0,44.9627869,26.0121083,node,8207374493
suburb,Eroilor,56.2,44.9273947,26.0084013,node,8181090444
suburb,Ferentari,3.6,44.3992704,26.0794334,node,6233361766
suburb,Filaret,1.5,44.4162768,26.0917026,node,12137939326
suburb,Floreasca,4.0,44.4631717,26.1029344,node,8867960071
suburb,Fundeni,5.6,44.4608761,26.1539609,node,8867994994
suburb,Gara de Est,3.7,44.4468496,26.139236,node,12165772209
suburb,Gara de Nord,3.0,44.4459598,26.0760245,node,8864235874
suburb,Ghencea,6.8,44.4105091,26.0201916,node,8864061240
suburb,Gheorghe Doja,58.5,44.9491488,26.018599,node,8210920990
suburb,Gheorghe Grigore Cantacuzino,57.4,44.9385795,26.0119149,node,8184407082
suburb,Giuleşti Sârbi,8.9,44.4707826,26.0087762,node,8864235871
suburb,Giulești,6.5,44.463176,26.0384866,node,12126318667
suburb,Giulești Sârbi,9.2,44.4716157,26.0053035,way,240551837
suburb,Giurgiu Nord,57.0,43.9225487,25.9732443,node,8815158362
suburb,Giurgiului,4.2,44.3894924,26.0917909,node,8863889485
suburb,Glodeni,87.4,45.0621828,25.4510626,node,2042613528
suburb,Greenfield,12.1,44.5352383,26.0946858,node,12137771371
suburb,Greenfield Residence Băneasa,12.0,44.5343316,26.0974985,way,1185727386
suburb,Grivița,4.8,44.4604218,26.0643339,node,12165763041
suburb,Grozăveşti,3.7,44.4410483,26.0598554,node,8864235867
suburb,Grozăvești,3.7,44.4434459,26.0621162,way,240575327
suburb,Gurilor,7.5,44.4151614,26.1958985,node,12147942408
suburb,Găgeni,59.1,44.9549423,26.014746,node,8207938874
suburb,Henri Coandă,8.0,44.4986315,26.1072377,way,226066735
suburb,Herăstrău,6.2,44.4809755,26.0852087,node,12165795027
