slug,title,status,has_phone,has_testimonial,testimonial_count,has_placeholders,placeholders,url
animatori-petreceri-copii-ariel-snagov,Animatori Petreceri Copii: Ariel la Petrecerea Ta! Pachet Premium Superparty în Snagov,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-ariel-snagov
animatori-petreceri-copii-ariel-voluntari,Animatori Petreceri Copii: Ariel la Petrecerea Ta! Pachet Premium Superparty în Voluntari,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-ariel-voluntari
animatori-petreceri-copii-aviatiei-bucuresti,Animatori Petreceri Copii: Personaj Surpriză la Petrecerea Ta! Pachet Premium Superparty în București,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-aviatiei-bucuresti
animatori-petreceri-copii-balotesti-ilfov,Animatori Petreceri Copii: Personaj Surpriză la Petrecerea Ta! Pachet Premium Superparty în Balotești,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-balotesti-ilfov
animatori-petreceri-copii-baneasa-bucuresti,Animatori Petreceri Copii: Personaj Surpriză la Petrecerea Ta! Pachet Premium Superparty în Băneasa,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-baneasa-bucuresti
animatori-petreceri-copii-batman-berceni,Animatori Petreceri Copii: Batman la Petrecerea Ta! Pachet Premium Superparty în Berceni,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-batman-berceni
animatori-petreceri-copii-batman-branesti,Animatori Petreceri Copii: Batman la Petrecerea Ta! Pachet Premium Superparty în Brănești,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-batman-branesti
animatori-petreceri-copii-batman-chiajna,Animatori Petreceri Copii: Batman la Petrecerea Ta! Pachet Premium Superparty în Chiajna,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-batman-chiajna
animatori-petreceri-copii-batman-chitila,Animatori Petreceri Copii: Batman la Petrecerea Ta! Pachet Premium Superparty în Chitila,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-batman-chitila
animatori-petreceri-copii-batman-copaceni,Animatori Petreceri Copii: Batman la Petrecerea Ta! Pachet Premium Superparty în Copăceni,ready,True,True,3,False,,https://superparty.ro/petreceri/animatori-petreceri-copii-batman-copaceni
